Country of Origin,Acidity,Aftertaste,Aroma,Balance,Body,Clean Cup,Cupper Points,Flavor,Sweetness,Uniformity,Total Cup Points
Indonesia,7.58,7.83,7.67,7.83,7.83,10.0,8.0,7.67,10.0,10.0,84.42
Colombia,7.67,7.75,7.92,7.67,7.92,10.0,7.67,7.83,10.0,10.0,84.42
Colombia,7.92,7.67,7.92,7.75,7.67,10.0,7.75,7.75,10.0,10.0,84.42
Taiwan,8.0,7.75,7.83,7.75,7.5,10.0,7.75,7.83,10.0,10.0,84.42
United States of America,7.83,7.5,7.92,7.92,7.5,10.0,7.83,7.92,10.0,10.0,84.42
Mexico,7.67,7.75,7.75,7.67,7.83,10.0,7.83,7.92,10.0,10.0,84.42
Ethiopia,7.92,7.83,7.5,7.75,7.92,10.0,7.75,7.75,10.0,10.0,84.42
Kenya,7.75,7.83,7.33,7.92,7.75,10.0,8.17,7.58,10.0,10.0,84.33
Honduras,7.67,7.75,7.92,7.75,7.67,10.0,7.58,8.0,10.0,10.0,84.33
Colombia,7.83,7.5,7.58,8.5,7.67,10.0,7.5,7.75,10.0,10.0,84.33
Honduras,7.75,7.58,7.58,7.75,7.92,10.0,7.83,7.92,10.0,10.0,84.33
Colombia,7.83,7.75,7.67,7.83,7.75,10.0,7.83,7.67,10.0,10.0,84.33
Colombia,7.67,8.0,7.75,7.83,8.08,10.0,7.33,7.67,10.0,10.0,84.33
Colombia,7.83,7.33,7.75,8.08,7.58,10.0,8.17,7.58,10.0,10.0,84.33
Mexico,7.83,7.75,8.0,7.67,7.5,10.0,7.83,7.75,10.0,10.0,84.33
Brazil,7.75,7.5,8.17,7.67,7.5,10.0,7.75,8.0,10.0,10.0,84.33
Brazil,7.5,7.5,8.0,7.75,7.67,10.0,7.92,8.0,10.0,10.0,84.33
Ethiopia,7.75,7.92,7.75,7.92,7.5,10.0,7.75,7.75,10.0,10.0,84.33
Guatemala,7.67,7.75,7.5,7.92,7.92,10.0,7.92,7.67,10.0,10.0,84.33
Taiwan,7.67,7.75,7.92,7.83,7.67,10.0,7.67,7.75,10.0,10.0,84.25
Thailand,7.42,7.75,7.83,7.67,7.83,10.0,8.0,7.75,10.0,10.0,84.25
Colombia,7.58,7.75,7.83,8.0,7.67,10.0,7.83,7.58,10.0,10.0,84.25
Guatemala,7.92,7.58,7.75,7.75,7.75,10.0,7.75,7.75,10.0,10.0,84.25
Guatemala,8.08,7.5,7.75,7.67,7.58,10.0,7.75,7.92,10.0,10.0,84.25
China,7.75,7.58,7.83,7.75,7.75,10.0,7.75,7.83,10.0,10.0,84.25
Colombia,7.75,7.75,7.67,7.92,7.67,10.0,7.83,7.67,10.0,10.0,84.25
Colombia,7.58,7.75,7.83,7.75,7.92,10.0,7.75,7.67,10.0,10.0,84.25
Colombia,7.58,7.83,7.83,7.75,7.67,10.0,7.83,7.75,10.0,10.0,84.25
Colombia,7.75,7.83,7.42,7.83,7.92,10.0,7.83,7.67,10.0,10.0,84.25
United Republic of Tanzania,7.83,7.75,7.83,7.67,7.67,10.0,7.83,7.67,10.0,10.0,84.25
United Republic of Tanzania,7.75,7.75,7.83,7.75,7.67,10.0,7.75,7.75,10.0,10.0,84.25
Guatemala,7.92,7.5,7.83,7.75,7.58,10.0,7.83,7.83,10.0,10.0,84.25
Colombia,7.83,7.75,7.58,7.83,7.92,10.0,7.83,7.5,10.0,10.0,84.25
United States of America,7.92,7.92,7.33,8.08,7.92,10.0,7.83,7.92,9.33,10.0,84.25
Mexico,7.83,7.67,7.83,7.75,7.5,10.0,7.75,7.92,10.0,10.0,84.25
Mexico,7.67,7.75,7.83,7.58,7.83,10.0,7.75,7.83,10.0,10.0,84.25
Mexico,7.75,7.67,7.83,7.75,7.5,10.0,7.83,7.92,10.0,10.0,84.25
Uganda,7.67,7.58,8.17,7.58,7.83,10.0,7.67,7.75,10.0,10.0,84.25
Guatemala,7.83,7.58,7.75,7.75,7.67,10.0,7.75,7.83,10.0,10.0,84.17
